Date,SPY,VTI,QQQ,IWM,EFA,EEM,VT,XLV,XLF,XLY,VNQ,GLD,AGG,BND,TLT,LQD,HYG,TIP,BNDX,SHY
2015-01-02,171.09368896484375,88.34242248535156,94.90655517578125,103.31510925292969,44.573951721191406,30.78945541381836,47.51068878173828,57.536373138427734,16.41561508178711,31.763032913208008,53.59623336791992,114.08000183105469,82.24871063232422,60.58755111694336,95.12923431396484,82.26590728759766,50.26845932006836,84.7757797241211,39.83943176269531,69.91597747802734
2015-01-05,168.0037384033203,86.82443237304688,93.51436614990234,101.93389129638672,43.52177810668945,30.241483688354492,46.59153747558594,57.242958068847656,16.070451736450195,31.155527114868164,53.889556884765625,115.80000305175781,82.42742919921875,60.76344680786133,96.62357330322266,82.6023178100586,49.802825927734375,84.84343719482422,39.82451629638672,69.91597747802734
2015-01-06,166.42138671875,85.97372436523438,92.26050567626953,100.17040252685547,43.028804779052734,30.114410400390625,46.12403869628906,57.05014419555664,15.824845314025879,30.845121383666992,54.4240837097168,117.12000274658203,82.63594055175781,60.93940734863281,98.3644790649414,82.93868255615234,49.61207962036133,84.85095977783203,39.91410827636719,69.94906616210938
2015-01-07,168.4951934814453,86.9996109008789,93.44988250732422,101.40398406982422,43.50706481933594,30.765625,46.71831512451172,58.391517639160156,15.99079418182373,31.332895278930664,55.25847625732422,116.43000030517578,82.62106323242188,60.976070404052734,98.17021179199219,83.04853057861328,49.92061996459961,84.91863250732422,39.884246826171875,69.9822006225586
2015-01-08,171.485107421875,88.53424072265625,95.23844909667969,103.12398529052734,44.09568786621094,31.28976821899414,47.42351531982422,59.38914108276367,16.229755401611328,31.802934646606445,55.46705627441406,115.94000244140625,82.49443054199219,60.88075637817383,96.87014770507812,82.78079986572266,50.2965087890625,84.78327178955078,39.869300842285156,69.9738540649414
2015-01-09,170.11093139648438,87.80029296875,94.61151885986328,102.13370513916016,43.88230895996094,31.186525344848633,47.1065788269043,58.86098098754883,16.010713577270508,31.43487548828125,55.49314880371094,117.26000213623047,82.695556640625,60.9833984375,97.93115234375,83.00048828125,50.54900360107422,85.03897857666016,39.8469123840332,70.03175354003906
2015-01-12,168.7783966064453,87.17475128173828,93.62503051757812,101.79490661621094,43.77930450439453,30.93239402770996,46.86094284057617,58.8861198425293,15.877947807312012,31.26638412475586,55.9168815612793,118.55999755859375,82.76255798339844,61.06406784057617,98.49152374267578,83.15837097167969,50.487266540527344,85.01641082763672,39.93651580810547,70.07312774658203
2015-01-13,168.30361938476562,86.97460174560547,93.59737396240234,101.87307739257812,44.00004577636719,31.202417373657227,46.892635345458984,58.626243591308594,15.824845314025879,31.26638412475586,55.83211898803711,118.16000366210938,82.78495025634766,61.12269973754883,98.49152374267578,83.23387145996094,50.487266540527344,84.88105010986328,39.97385025024414,70.11448669433594
2015-01-14,167.2875518798828,86.49918365478516,93.08106231689453,101.46479034423828,43.874961853027344,31.027692794799805,46.67869186401367,58.53404235839844,15.599156379699707,30.88947296142578,56.31448745727539,117.97000122070312,82.98595428466797,61.261993408203125,99.23868560791016,83.37806701660156,50.36946105957031,85.38492584228516,40.0709114074707,70.1558609008789
2015-01-15,165.75509643554688,85.62345123291016,91.87327575683594,99.75343322753906,44.154563903808594,31.099172592163086,46.528141021728516,57.905242919921875,15.406654357910156,30.490373611450195,56.44487380981445,120.94000244140625,83.36588287353516,61.53321838378906,100.80025482177734,83.81057739257812,50.06089401245117,86.06173706054688,39.884246826171875,70.26334381103516
